codigo,nombre,tolerancia
Pasto-0,"Marandu, Braquiarão o Brizantão",Media
Pasto-1,"Xaraés, MG-5 Vitória o Toledo",Media
Pasto-2,BRS Piatã,Alta
Pasto-3,BRS Paiaguás,Alta
Pasto-4,BRS Ipyporã,Media
Pasto-5,"Basilisk, Braquiarinha o Decumbens",Alta
Pasto-6,"LIanero, Lhanero o Dictyoneura",Media
Pasto-7,"Humidicola comum, Tuly o Quicuio da Amazônia",Media
Pasto-8,BRS Tupi,Media
Pasto-9,Ruziziensis,Baja
Pasto-10,Tanzânia,Media/Baja
Pasto-11,Mombaça,Media/Baja
Pasto-12,Massai,Alta
Pasto-13,BRS Zuri,Media/Baja
Pasto-14,BRS Tamani,Media/Baja
Pasto-15,BRS Quênia,Media/Baja
