"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
332,348,327,361,344,363,328,366,359,380,350,358,355,373,330,305,351,306,351,295,334,288,358,354,374,371,375,367,361,352,329,339,336,310,367,301,337,359,329,295,342,291,364,366,361
332.231,348.231,327.231,361.231,344.231,363.231,328.231,366.231,359.231,380.41,350.41,358.41,355.41,373.41,330.41,305.41,351.41,306.41,351.329,295.329,334.329,288.329,358.329,354.329,374.329,371.329,375.309,367.309,361.309,352.309,329.309,339.309,336.309,310.309,367.309,301.254,337.254,359.254,329.254,295.254,342.254,291.254,364.254,366.254,361.254
332.462,348.462,327.462,361.462,344.462,363.462,328.462,366.462,359.462,380.793,350.793,358.793,355.793,373.793,330.793,305.793,351.793,306.793,351.66,295.66,334.66,288.66,358.66,354.66,374.66,371.66,375.611,367.611,361.611,352.611,329.611,339.611,336.611,310.611,367.611,301.486,337.486,359.486,329.486,295.486,342.486,291.486,364.486,366.486,361.486
332.704,348.704,327.704,361.704,344.704,363.704,328.704,366.704,359.704,381.15,351.15,359.15,356.15,374.15,331.15,306.15,352.15,307.15,351.891644790705,295.891644790705,334.891644790705,288.891644790705,358.891644790705,354.891644790705,374.891644790705,371.891644790705,375.925,367.925,361.925,352.925,329.925,339.925,336.925,310.925,367.925,301.747,337.747,359.747,329.747,295.747,342.747,291.747,364.747,366.747,361.747
333.124,349.124,328.124,362.124,345.124,364.124,329.124,367.124,360.124,381.505,351.505,359.505,356.505,374.505,331.505,306.505,352.505,307.505,352.108644790705,296.108644790705,335.108644790705,289.108644790705,359.108644790705,355.108644790705,375.108644790705,372.108644790705,376.262,368.262,362.262,353.262,330.262,340.262,337.262,311.262,368.262,302.008,338.008,360.008,330.008,296.008,343.008,292.008,365.008,367.008,362.008
333.485,349.485,328.485,362.485,345.485,364.485,329.485,367.485,360.485,381.868,351.868,359.868,356.868,374.868,331.868,306.868,352.868,307.868,352.241644790705,296.241644790705,335.241644790705,289.241644790705,359.241644790705,355.241644790705,375.241644790705,372.241644790705,376.619,368.619,362.619,353.619,330.619,340.619,337.619,311.619,368.619,302.262,338.262,360.262,330.262,296.262,343.262,292.262,365.262,367.262,362.262
333.88,349.88,328.88,362.88,345.88,364.88,329.88,367.88,360.88,382.257,352.257,360.257,357.257,375.257,332.257,307.257,353.257,308.257,352.509644790705,296.509644790705,335.509644790705,289.509644790705,359.509644790705,355.509644790705,375.509644790705,372.509644790705,376.660097792336,368.660097792336,362.660097792336,353.660097792336,330.660097792336,340.660097792336,337.660097792336,311.660097792336,368.660097792336,302.527,338.527,360.527,330.527,296.527,343.527,292.527,365.527,367.527,362.527
334.227,350.227,329.227,363.227,346.227,365.227,330.227,368.227,361.227,382.616,352.616,360.616,357.616,375.616,332.616,307.616,353.616,308.616,352.809644790705,296.809644790705,335.809644790705,289.809644790705,359.809644790705,355.809644790705,375.809644790705,372.809644790705,377.039097792336,369.039097792336,363.039097792336,354.039097792336,331.039097792336,341.039097792336,338.039097792336,312.039097792336,369.039097792336,302.832,338.832,360.832,330.832,296.832,343.832,292.832,365.832,367.832,362.832
334.441,350.441,329.441,363.441,346.441,365.441,330.441,368.441,361.441,382.908428619087,352.908428619087,360.908428619087,357.908428619087,375.908428619087,332.908428619087,307.908428619087,353.908428619087,308.908428619087,353.116644790705,297.116644790705,336.116644790705,290.116644790705,360.116644790705,356.116644790705,376.116644790705,373.116644790705,377.452097792336,369.452097792336,363.452097792336,354.452097792336,331.452097792336,341.452097792336,338.452097792336,312.452097792336,369.452097792336,303.136,339.136,361.136,331.136,297.136,344.136,293.136,366.136,368.136,363.136
334.716,350.716,329.716,363.716,346.716,365.716,330.716,368.716,361.716,382.908428619087,352.908428619087,360.908428619087,357.908428619087,375.908428619087,332.908428619087,307.908428619087,353.908428619087,308.908428619087,353.421644790705,297.421644790705,336.421644790705,290.421644790705,360.421644790705,356.421644790705,376.421644790705,373.421644790705,377.845097792336,369.845097792336,363.845097792336,354.845097792336,331.845097792336,341.845097792336,338.845097792336,312.845097792336,369.845097792336,303.444,339.444,361.444,331.444,297.444,344.444,293.444,366.444,368.444,363.444
