,dia,peso,raza,genero,codigo_animal
0,365,242.55214648389745,AC,Hembra,AC_H_1
1,395,240.95685031927906,AC,Hembra,AC_H_1
2,425,255.2590247844643,AC,Hembra,AC_H_1
3,455,260.24102986967,AC,Hembra,AC_H_1
4,485,273.5328831780535,AC,Hembra,AC_H_1
5,515,285.7585008923353,AC,Hembra,AC_H_1
6,545,296.84378246166193,AC,Hembra,AC_H_1
7,575,300.5719597224779,AC,Hembra,AC_H_1
8,605,312.45219783408436,AC,Hembra,AC_H_1
9,635,314.3196988003659,AC,Hembra,AC_H_1
10,665,328.1871248603439,AC,Hembra,AC_H_1
11,695,331.0083925892198,AC,Hembra,AC_H_1
12,725,331.07617387074083,AC,Hembra,AC_H_1
13,755,350.3190525580443,AC,Hembra,AC_H_1
14,785,352.09192948570484,AC,Hembra,AC_H_1
15,815,362.2642081771494,AC,Hembra,AC_H_1
16,845,362.9043665369349,AC,Hembra,AC_H_1
17,875,368.9639388344769,AC,Hembra,AC_H_1
18,905,378.2727252956073,AC,Hembra,AC_H_1
19,935,379.0896266922264,AC,Hembra,AC_H_1
20,965,385.1333996870088,AC,Hembra,AC_H_1
21,995,386.8638672615602,AC,Hembra,AC_H_1
22,1025,395.33308206869197,AC,Hembra,AC_H_1
23,1055,402.0329693266215,AC,Hembra,AC_H_1
24,1085,397.5889120690151,AC,Hembra,AC_H_1
25,1115,402.7318633074138,AC,Hembra,AC_H_1
26,1145,406.35285905526234,AC,Hembra,AC_H_1
27,1175,407.153252236112,AC,Hembra,AC_H_1
28,1205,413.79531216090606,AC,Hembra,AC_H_1
29,1235,417.15788529936015,AC,Hembra,AC_H_1
30,1265,418.5904629878722,AC,Hembra,AC_H_1
31,1295,420.682148391526,AC,Hembra,AC_H_1
32,1325,423.0609693548787,AC,Hembra,AC_H_1
33,1355,428.18164135902293,AC,Hembra,AC_H_1
34,1385,429.11876143045913,AC,Hembra,AC_H_1
35,1415,428.42797562143085,AC,Hembra,AC_H_1
36,1445,432.80290390792464,AC,Hembra,AC_H_1
37,1475,437.8187494303952,AC,Hembra,AC_H_1
38,1505,438.27963609013375,AC,Hembra,AC_H_1
39,1535,437.9493604624242,AC,Hembra,AC_H_1
40,1565,443.0976141344396,AC,Hembra,AC_H_1
41,1595,443.56343409136593,AC,Hembra,AC_H_1
42,1625,445.37001113944564,AC,Hembra,AC_H_1
43,1655,446.2224840981332,AC,Hembra,AC_H_1
44,1685,448.8445191973348,AC,Hembra,AC_H_1
45,1715,450.5057355650405,AC,Hembra,AC_H_1
46,1745,449.5024921757068,AC,Hembra,AC_H_1
47,1775,450.69779979197534,AC,Hembra,AC_H_1
48,1805,450.6550943473691,AC,Hembra,AC_H_1
49,1835,455.05498642667607,AC,Hembra,AC_H_1
50,1865,454.5053984195389,AC,Hembra,AC_H_1
51,1895,455.66868667523124,AC,Hembra,AC_H_1
52,1925,455.67619807225793,AC,Hembra,AC_H_1
53,1955,457.8613281294048,AC,Hembra,AC_H_1
54,1985,456.9869889867625,AC,Hembra,AC_H_1
55,2015,458.88051283065846,AC,Hembra,AC_H_1
56,2045,463.3730138192092,AC,Hembra,AC_H_1
57,2075,458.63848543246837,AC,Hembra,AC_H_1
58,2105,460.9000748911325,AC,Hembra,AC_H_1
59,2135,460.7776729289895,AC,Hembra,AC_H_1
60,2165,466.3510944577764,AC,Hembra,AC_H_1
61,2195,471.69934990317284,AC,Hembra,AC_H_1
62,2225,465.6511362003989,AC,Hembra,AC_H_1
63,2255,465.5575664788341,AC,Hembra,AC_H_1
64,2285,464.77688698909316,AC,Hembra,AC_H_1
65,2315,467.9771502862142,AC,Hembra,AC_H_1
66,2345,465.9524225487053,AC,Hembra,AC_H_1
67,2375,469.8423898028658,AC,Hembra,AC_H_1
68,2405,470.4250190405746,AC,Hembra,AC_H_1
69,2435,468.16400739438006,AC,Hembra,AC_H_1
70,2465,468.68480668501854,AC,Hembra,AC_H_1
71,2495,470.8351040896543,AC,Hembra,AC_H_1
72,2525,469.8410312937314,AC,Hembra,AC_H_1
73,2555,471.9974622489217,AC,Hembra,AC_H_1
74,2585,473.3925549615242,AC,Hembra,AC_H_1
75,2615,471.1666848380434,AC,Hembra,AC_H_1
76,2645,469.7577501183132,AC,Hembra,AC_H_1
77,2675,470.804141790432,AC,Hembra,AC_H_1
78,2705,469.7413627956929,AC,Hembra,AC_H_1
79,2735,470.33651602764417,AC,Hembra,AC_H_1
80,2765,477.99342389109995,AC,Hembra,AC_H_1
81,2795,471.174621070806,AC,Hembra,AC_H_1
82,365,238.70919389478968,AC,Hembra,AC_H_2
83,395,243.71659292951244,AC,Hembra,AC_H_2
84,425,256.40508565551517,AC,Hembra,AC_H_2
85,455,261.90183795555527,AC,Hembra,AC_H_2
86,485,275.1398237289579,AC,Hembra,AC_H_2
87,515,289.85894431969587,AC,Hembra,AC_H_2
88,545,287.97467360548393,AC,Hembra,AC_H_2
89,575,301.9052298476036,AC,Hembra,AC_H_2
90,605,313.2043675445945,AC,Hembra,AC_H_2
91,635,319.9617742859359,AC,Hembra,AC_H_2
92,665,323.8587256574031,AC,Hembra,AC_H_2
93,695,337.3669470762275,AC,Hembra,AC_H_2
94,725,336.29898945839636,AC,Hembra,AC_H_2
95,755,347.5156816999126,AC,Hembra,AC_H_2
96,785,354.52767444336564,AC,Hembra,AC_H_2
97,815,357.5495129983789,AC,Hembra,AC_H_2
98,845,360.8851959442,AC,Hembra,AC_H_2
99,875,368.0347342393642,AC,Hembra,AC_H_2
100,905,373.5110697428308,AC,Hembra,AC_H_2
101,935,378.23620163561816,AC,Hembra,AC_H_2
102,965,384.1944925339809,AC,Hembra,AC_H_2
103,995,385.136949315928,AC,Hembra,AC_H_2
104,1025,390.43175426183865,AC,Hembra,AC_H_2
105,1055,389.6443786533929,AC,Hembra,AC_H_2
106,1085,404.1759221063007,AC,Hembra,AC_H_2
107,1115,403.0813369297612,AC,Hembra,AC_H_2
108,1145,405.34040125004935,AC,Hembra,AC_H_2
109,1175,410.2253219976146,AC,Hembra,AC_H_2
110,1205,414.4110624726174,AC,Hembra,AC_H_2
111,1235,416.2977072747616,AC,Hembra,AC_H_2
112,1265,419.0715451149516,AC,Hembra,AC_H_2
113,1295,421.7752963059203,AC,Hembra,AC_H_2
114,1325,423.25655293607196,AC,Hembra,AC_H_2
115,1355,423.88650503997206,AC,Hembra,AC_H_2
116,1385,430.533105488959,AC,Hembra,AC_H_2
117,1415,431.77384419995985,AC,Hembra,AC_H_2
118,1445,436.5124937571142,AC,Hembra,AC_H_2
119,1475,438.2214997797555,AC,Hembra,AC_H_2
120,1505,434.7871554479565,AC,Hembra,AC_H_2
121,1535,438.9617933388955,AC,Hembra,AC_H_2
122,1565,447.5043790370123,AC,Hembra,AC_H_2
123,1595,450.49464799716293,AC,Hembra,AC_H_2
124,1625,445.664877365171,AC,Hembra,AC_H_2
125,1655,448.9557265911475,AC,Hembra,AC_H_2
126,1685,446.04826507110323,AC,Hembra,AC_H_2
127,1715,446.20970094794643,AC,Hembra,AC_H_2
128,1745,453.35397069278764,AC,Hembra,AC_H_2
129,1775,452.5645918470784,AC,Hembra,AC_H_2
130,1805,453.54194870339035,AC,Hembra,AC_H_2
131,1835,454.8666531625923,AC,Hembra,AC_H_2
132,1865,457.9113640297504,AC,Hembra,AC_H_2
133,1895,456.2111695531942,AC,Hembra,AC_H_2
134,1925,460.0251687965643,AC,Hembra,AC_H_2
135,1955,459.1003100735936,AC,Hembra,AC_H_2
136,1985,458.16577299333596,AC,Hembra,AC_H_2
137,2015,456.47729701390944,AC,Hembra,AC_H_2
138,2045,460.3843777030325,AC,Hembra,AC_H_2
139,2075,460.48799172678565,AC,Hembra,AC_H_2
140,2105,461.90962449473415,AC,Hembra,AC_H_2
141,2135,465.1325141083437,AC,Hembra,AC_H_2
142,2165,467.15673722409014,AC,Hembra,AC_H_2
143,2195,462.74139163332103,AC,Hembra,AC_H_2
144,2225,463.2054718971493,AC,Hembra,AC_H_2
145,2255,464.8468119790994,AC,Hembra,AC_H_2
146,2285,465.67421868443694,AC,Hembra,AC_H_2
147,2315,467.6578263785157,AC,Hembra,AC_H_2
