,dia,peso,raza,genero,codigo_animal
0,0,37.24820231994708,AC,Macho,AC_M_1
1,30,56.18905721811612,AC,Macho,AC_M_1
2,60,73.86676430185562,AC,Macho,AC_M_1
3,90,96.45615249283343,AC,Macho,AC_M_1
4,120,112.62843790464669,AC,Macho,AC_M_1
5,150,129.10379683968438,AC,Macho,AC_M_1
6,180,144.37703091844904,AC,Macho,AC_M_1
7,210,161.6781774270563,AC,Macho,AC_M_1
8,240,177.91517307896675,AC,Macho,AC_M_1
9,270,187.66954487345492,AC,Macho,AC_M_1
10,300,205.83613415780755,AC,Macho,AC_M_1
11,330,227.24126365436425,AC,Macho,AC_M_1
12,360,230.30003848211993,AC,Macho,AC_M_1
13,390,241.3745338474525,AC,Macho,AC_M_1
14,420,245.2067444922935,AC,Macho,AC_M_1
15,450,261.30688386474105,AC,Macho,AC_M_1
16,480,271.40292440782684,AC,Macho,AC_M_1
17,510,276.988447584829,AC,Macho,AC_M_1
18,540,293.8688429271377,AC,Macho,AC_M_1
19,570,305.1812668310131,AC,Macho,AC_M_1
20,600,310.47601446034173,AC,Macho,AC_M_1
21,630,321.29275526148723,AC,Macho,AC_M_1
22,660,328.04076276622754,AC,Macho,AC_M_1
23,690,332.3842559787269,AC,Macho,AC_M_1
24,720,337.53577720619694,AC,Macho,AC_M_1
25,750,337.35073537428025,AC,Macho,AC_M_1
26,780,349.22975721071026,AC,Macho,AC_M_1
27,810,358.5048595003318,AC,Macho,AC_M_1
28,840,357.56781082578675,AC,Macho,AC_M_1
29,870,368.5563972912498,AC,Macho,AC_M_1
30,900,373.45847708988623,AC,Macho,AC_M_1
31,930,381.15363194668805,AC,Macho,AC_M_1
32,960,382.4022508582621,AC,Macho,AC_M_1
33,990,387.16620752226737,AC,Macho,AC_M_1
34,1020,390.83141034797524,AC,Macho,AC_M_1
35,1050,393.58805050141893,AC,Macho,AC_M_1
36,1080,399.8551142744272,AC,Macho,AC_M_1
37,1110,402.60649211541073,AC,Macho,AC_M_1
38,1140,406.3735122487966,AC,Macho,AC_M_1
39,1170,410.91428070548454,AC,Macho,AC_M_1
40,1200,410.0911268873391,AC,Macho,AC_M_1
41,1230,415.6281460812099,AC,Macho,AC_M_1
42,1260,419.5533713162576,AC,Macho,AC_M_1
43,1290,420.72525369471015,AC,Macho,AC_M_1
44,1320,424.30694789595316,AC,Macho,AC_M_1
45,1350,426.00891048595514,AC,Macho,AC_M_1
46,1380,426.2677423832532,AC,Macho,AC_M_1
47,1410,428.98748946529616,AC,Macho,AC_M_1
48,1440,431.65741529176785,AC,Macho,AC_M_1
49,1470,435.24217211630554,AC,Macho,AC_M_1
50,1500,434.99393922376345,AC,Macho,AC_M_1
