,dia,peso,raza,genero,codigo_animal
0,365,229.0363691996001,BAC,Hembra,BAC_H_1
1,395,243.43456653373448,BAC,Hembra,BAC_H_1
2,425,247.99275959576002,BAC,Hembra,BAC_H_1
3,455,265.2790036596263,BAC,Hembra,BAC_H_1
4,485,277.0281336593344,BAC,Hembra,BAC_H_1
5,515,280.9345742534589,BAC,Hembra,BAC_H_1
6,545,288.30430741381616,BAC,Hembra,BAC_H_1
7,575,291.9638651165645,BAC,Hembra,BAC_H_1
8,605,300.166652261658,BAC,Hembra,BAC_H_1
9,635,316.3232157213066,BAC,Hembra,BAC_H_1
10,665,317.53498865192574,BAC,Hembra,BAC_H_1
11,695,328.9058566343217,BAC,Hembra,BAC_H_1
12,725,336.1889958953477,BAC,Hembra,BAC_H_1
13,755,331.4264579118764,BAC,Hembra,BAC_H_1
14,785,341.9341185914952,BAC,Hembra,BAC_H_1
15,815,350.3126039273371,BAC,Hembra,BAC_H_1
16,845,352.73711471076797,BAC,Hembra,BAC_H_1
17,875,360.0220724702048,BAC,Hembra,BAC_H_1
18,905,363.2572489186436,BAC,Hembra,BAC_H_1
19,935,369.4441335036924,BAC,Hembra,BAC_H_1
20,965,374.004812843702,BAC,Hembra,BAC_H_1
21,995,368.88768108470157,BAC,Hembra,BAC_H_1
22,1025,380.91158143709384,BAC,Hembra,BAC_H_1
23,1055,387.88202977554664,BAC,Hembra,BAC_H_1
24,1085,388.5063853660786,BAC,Hembra,BAC_H_1
25,1115,389.00855795216876,BAC,Hembra,BAC_H_1
26,1145,394.3141662387078,BAC,Hembra,BAC_H_1
27,1175,393.0907541910422,BAC,Hembra,BAC_H_1
28,1205,404.05273543969287,BAC,Hembra,BAC_H_1
29,1235,398.7376757735179,BAC,Hembra,BAC_H_1
30,1265,406.5965567157316,BAC,Hembra,BAC_H_1
31,1295,409.4626922278547,BAC,Hembra,BAC_H_1
32,1325,410.162987461119,BAC,Hembra,BAC_H_1
33,1355,410.8528635691934,BAC,Hembra,BAC_H_1
34,1385,415.1604795721862,BAC,Hembra,BAC_H_1
35,1415,416.67422983688846,BAC,Hembra,BAC_H_1
36,1445,419.2850136008447,BAC,Hembra,BAC_H_1
37,1475,419.28536840787376,BAC,Hembra,BAC_H_1
38,1505,419.49988757509874,BAC,Hembra,BAC_H_1
39,1535,426.6610561569344,BAC,Hembra,BAC_H_1
40,1565,424.8224820670565,BAC,Hembra,BAC_H_1
41,1595,425.5439036253173,BAC,Hembra,BAC_H_1
42,1625,427.76146953032617,BAC,Hembra,BAC_H_1
43,1655,428.2617259012413,BAC,Hembra,BAC_H_1
44,1685,423.3458066640593,BAC,Hembra,BAC_H_1
45,1715,425.4409666080091,BAC,Hembra,BAC_H_1
46,1745,431.3107162251691,BAC,Hembra,BAC_H_1
47,1775,432.8690245853129,BAC,Hembra,BAC_H_1
48,1805,434.3894681955765,BAC,Hembra,BAC_H_1
49,1835,433.5250604863807,BAC,Hembra,BAC_H_1
50,1865,434.07015971750326,BAC,Hembra,BAC_H_1
51,1895,436.51852909527616,BAC,Hembra,BAC_H_1
52,1925,435.44560051700773,BAC,Hembra,BAC_H_1
53,1955,437.08668380656366,BAC,Hembra,BAC_H_1
54,1985,436.6253073969792,BAC,Hembra,BAC_H_1
55,2015,438.36699031246826,BAC,Hembra,BAC_H_1
56,2045,442.38375250712295,BAC,Hembra,BAC_H_1
57,2075,438.3770225075748,BAC,Hembra,BAC_H_1
58,2105,441.02715215036744,BAC,Hembra,BAC_H_1
59,2135,440.65327712844527,BAC,Hembra,BAC_H_1
60,2165,441.34045782914103,BAC,Hembra,BAC_H_1
61,2195,443.3448083096764,BAC,Hembra,BAC_H_1
62,2225,441.2530206979718,BAC,Hembra,BAC_H_1
63,2255,439.7134802365526,BAC,Hembra,BAC_H_1
64,2285,446.79053043075857,BAC,Hembra,BAC_H_1
65,2315,444.753675932032,BAC,Hembra,BAC_H_1
66,2345,443.6977822049105,BAC,Hembra,BAC_H_1
67,2375,442.351498222458,BAC,Hembra,BAC_H_1
68,2405,447.42561591700127,BAC,Hembra,BAC_H_1
69,2435,444.28412026982915,BAC,Hembra,BAC_H_1
70,2465,447.76075368236667,BAC,Hembra,BAC_H_1
71,2495,450.46068468930827,BAC,Hembra,BAC_H_1
