,dia,peso,raza,genero,codigo_animal
0,0,36.03985659839279,BAC,Macho,BAC_M_1
1,30,56.03434805125839,BAC,Macho,BAC_M_1
2,60,82.58441974080795,BAC,Macho,BAC_M_1
3,90,103.64163026750346,BAC,Macho,BAC_M_1
4,120,114.60764001085224,BAC,Macho,BAC_M_1
5,150,130.5609831321911,BAC,Macho,BAC_M_1
6,180,144.93210844939247,BAC,Macho,BAC_M_1
7,210,162.03094002594352,BAC,Macho,BAC_M_1
8,240,180.8467001974579,BAC,Macho,BAC_M_1
9,270,192.769674753746,BAC,Macho,BAC_M_1
10,300,207.77843007892366,BAC,Macho,BAC_M_1
11,330,213.84870585350066,BAC,Macho,BAC_M_1
12,360,228.84129128858828,BAC,Macho,BAC_M_1
13,390,237.91641600693802,BAC,Macho,BAC_M_1
14,420,247.05544025875338,BAC,Macho,BAC_M_1
15,450,261.2680466729061,BAC,Macho,BAC_M_1
16,480,279.047311793877,BAC,Macho,BAC_M_1
17,510,283.5278543689835,BAC,Macho,BAC_M_1
18,540,291.52054966596535,BAC,Macho,BAC_M_1
19,570,300.028453485844,BAC,Macho,BAC_M_1
20,600,309.747443480413,BAC,Macho,BAC_M_1
21,630,317.1629117274343,BAC,Macho,BAC_M_1
22,660,317.0666889421361,BAC,Macho,BAC_M_1
23,690,323.8627156375903,BAC,Macho,BAC_M_1
24,720,330.7660608905173,BAC,Macho,BAC_M_1
25,750,339.3469553933978,BAC,Macho,BAC_M_1
26,780,347.10117717463635,BAC,Macho,BAC_M_1
27,810,348.49184026992265,BAC,Macho,BAC_M_1
28,840,357.02146701607296,BAC,Macho,BAC_M_1
29,870,360.1041696301452,BAC,Macho,BAC_M_1
30,900,361.35731393860686,BAC,Macho,BAC_M_1
31,930,370.18185165711515,BAC,Macho,BAC_M_1
32,960,373.1265943613753,BAC,Macho,BAC_M_1
33,990,374.1748649904028,BAC,Macho,BAC_M_1
34,1020,378.7930576819048,BAC,Macho,BAC_M_1
