,dia,peso,raza,genero,codigo_animal
0,365,214.5251422934671,BC,Hembra,BC_H_1
1,395,232.02261197043768,BC,Hembra,BC_H_1
2,425,242.3911710383178,BC,Hembra,BC_H_1
3,455,254.1451092859445,BC,Hembra,BC_H_1
4,485,263.3669314003594,BC,Hembra,BC_H_1
5,515,271.73309075092453,BC,Hembra,BC_H_1
6,545,282.2855731886823,BC,Hembra,BC_H_1
7,575,291.00118946321516,BC,Hembra,BC_H_1
8,605,300.1989654929226,BC,Hembra,BC_H_1
9,635,309.1549358771111,BC,Hembra,BC_H_1
10,665,311.4704657573579,BC,Hembra,BC_H_1
11,695,328.11080529852563,BC,Hembra,BC_H_1
12,725,326.3673300760587,BC,Hembra,BC_H_1
13,755,339.7874669888195,BC,Hembra,BC_H_1
14,785,341.6777303115593,BC,Hembra,BC_H_1
15,815,353.8951167209014,BC,Hembra,BC_H_1
16,845,364.18022237586547,BC,Hembra,BC_H_1
17,875,368.26188434068405,BC,Hembra,BC_H_1
18,905,375.40493564309895,BC,Hembra,BC_H_1
19,935,381.36682912427733,BC,Hembra,BC_H_1
20,965,384.8683663326112,BC,Hembra,BC_H_1
21,995,389.20582118021514,BC,Hembra,BC_H_1
22,1025,396.1690003705824,BC,Hembra,BC_H_1
23,1055,402.1128590280557,BC,Hembra,BC_H_1
24,1085,404.14278529485995,BC,Hembra,BC_H_1
25,1115,411.15035112491177,BC,Hembra,BC_H_1
26,1145,417.47816606579767,BC,Hembra,BC_H_1
27,1175,422.78241814358023,BC,Hembra,BC_H_1
28,1205,425.6120973380411,BC,Hembra,BC_H_1
29,1235,428.21450709037265,BC,Hembra,BC_H_1
30,1265,437.7578777234981,BC,Hembra,BC_H_1
31,1295,438.71621022529706,BC,Hembra,BC_H_1
32,1325,437.7729250147463,BC,Hembra,BC_H_1
33,1355,449.4201570832768,BC,Hembra,BC_H_1
34,1385,449.27011965066976,BC,Hembra,BC_H_1
35,1415,452.88300168184736,BC,Hembra,BC_H_1
36,1445,450.93788304880627,BC,Hembra,BC_H_1
37,1475,461.1200164196118,BC,Hembra,BC_H_1
38,1505,466.5808546563703,BC,Hembra,BC_H_1
39,1535,467.2203454502667,BC,Hembra,BC_H_1
40,1565,464.34173515898755,BC,Hembra,BC_H_1
41,1595,471.8890881851791,BC,Hembra,BC_H_1
42,1625,474.2026392820014,BC,Hembra,BC_H_1
43,1655,477.75918598273694,BC,Hembra,BC_H_1
44,1685,482.64133430228475,BC,Hembra,BC_H_1
45,1715,482.110280104914,BC,Hembra,BC_H_1
46,1745,484.60674079890117,BC,Hembra,BC_H_1
47,1775,483.9009325659895,BC,Hembra,BC_H_1
48,1805,487.4238151097693,BC,Hembra,BC_H_1
49,1835,489.9923682637685,BC,Hembra,BC_H_1
50,1865,492.1041642300258,BC,Hembra,BC_H_1
51,1895,493.79364939534133,BC,Hembra,BC_H_1
52,1925,495.49034828616,BC,Hembra,BC_H_1
53,1955,500.03495633832335,BC,Hembra,BC_H_1
54,1985,499.4712713352223,BC,Hembra,BC_H_1
55,2015,500.4252779457134,BC,Hembra,BC_H_1
56,2045,499.48625229162496,BC,Hembra,BC_H_1
57,2075,506.05747696379746,BC,Hembra,BC_H_1
58,2105,507.97257944510426,BC,Hembra,BC_H_1
59,2135,504.9559750488888,BC,Hembra,BC_H_1
60,2165,511.4787415264161,BC,Hembra,BC_H_1
61,2195,510.2198515559367,BC,Hembra,BC_H_1
62,2225,509.7791819169698,BC,Hembra,BC_H_1
63,2255,508.97323071767084,BC,Hembra,BC_H_1
64,2285,510.5255863594881,BC,Hembra,BC_H_1
65,2315,512.9640517534039,BC,Hembra,BC_H_1
66,2345,516.5862350064061,BC,Hembra,BC_H_1
