,dia,peso,raza,genero,codigo_animal
0,365,227.64223399933164,CAC,Hembra,CAC_H_1
1,395,241.480485143981,CAC,Hembra,CAC_H_1
2,425,250.24303252585636,CAC,Hembra,CAC_H_1
3,455,262.35993313861485,CAC,Hembra,CAC_H_1
4,485,269.3486078815716,CAC,Hembra,CAC_H_1
5,515,275.5302721423789,CAC,Hembra,CAC_H_1
6,545,291.891621378746,CAC,Hembra,CAC_H_1
7,575,298.91491407077376,CAC,Hembra,CAC_H_1
8,605,308.58647160428467,CAC,Hembra,CAC_H_1
9,635,314.96202911512984,CAC,Hembra,CAC_H_1
10,665,321.37576501184026,CAC,Hembra,CAC_H_1
11,695,331.16337738529677,CAC,Hembra,CAC_H_1
12,725,342.235397929925,CAC,Hembra,CAC_H_1
13,755,345.858474937239,CAC,Hembra,CAC_H_1
14,785,361.2129550117385,CAC,Hembra,CAC_H_1
15,815,362.74396428513404,CAC,Hembra,CAC_H_1
16,845,367.9630452476708,CAC,Hembra,CAC_H_1
17,875,371.585591980557,CAC,Hembra,CAC_H_1
18,905,377.44803130654594,CAC,Hembra,CAC_H_1
19,935,383.3980016188636,CAC,Hembra,CAC_H_1
20,965,388.1906934748648,CAC,Hembra,CAC_H_1
21,995,394.586581980694,CAC,Hembra,CAC_H_1
22,1025,397.2255141963493,CAC,Hembra,CAC_H_1
23,1055,408.1992958750495,CAC,Hembra,CAC_H_1
24,1085,404.98938835844285,CAC,Hembra,CAC_H_1
25,1115,410.280782264771,CAC,Hembra,CAC_H_1
26,1145,416.4561623304894,CAC,Hembra,CAC_H_1
27,1175,417.4992702707033,CAC,Hembra,CAC_H_1
28,1205,425.47365731860066,CAC,Hembra,CAC_H_1
29,1235,426.31053383492105,CAC,Hembra,CAC_H_1
30,1265,425.6030049838898,CAC,Hembra,CAC_H_1
31,1295,430.6936605678018,CAC,Hembra,CAC_H_1
32,1325,433.4243147168261,CAC,Hembra,CAC_H_1
33,1355,442.5247845869275,CAC,Hembra,CAC_H_1
34,1385,438.4854825998944,CAC,Hembra,CAC_H_1
35,1415,443.74587149581265,CAC,Hembra,CAC_H_1
36,1445,446.85439468899443,CAC,Hembra,CAC_H_1
37,1475,446.91962014021425,CAC,Hembra,CAC_H_1
38,1505,450.6025290610948,CAC,Hembra,CAC_H_1
39,1535,452.4254956562515,CAC,Hembra,CAC_H_1
40,1565,455.1409374655601,CAC,Hembra,CAC_H_1
41,1595,455.2152780830432,CAC,Hembra,CAC_H_1
42,1625,458.83857338802886,CAC,Hembra,CAC_H_1
43,1655,460.638924353795,CAC,Hembra,CAC_H_1
44,1685,461.9191708987862,CAC,Hembra,CAC_H_1
45,1715,467.7988756146511,CAC,Hembra,CAC_H_1
46,1745,462.6275199711624,CAC,Hembra,CAC_H_1
47,1775,466.41166335858867,CAC,Hembra,CAC_H_1
48,1805,466.54498876768014,CAC,Hembra,CAC_H_1
49,1835,467.20761282333893,CAC,Hembra,CAC_H_1
50,1865,470.61886593872964,CAC,Hembra,CAC_H_1
51,1895,473.3878973072865,CAC,Hembra,CAC_H_1
52,1925,476.42865146208754,CAC,Hembra,CAC_H_1
53,1955,476.1665455186896,CAC,Hembra,CAC_H_1
54,1985,476.3617146556893,CAC,Hembra,CAC_H_1
55,2015,475.67581732818655,CAC,Hembra,CAC_H_1
56,2045,481.28342701170953,CAC,Hembra,CAC_H_1
57,2075,478.0000821734268,CAC,Hembra,CAC_H_1
58,2105,480.2705182726129,CAC,Hembra,CAC_H_1
59,2135,486.58593346245317,CAC,Hembra,CAC_H_1
60,2165,487.4173998865956,CAC,Hembra,CAC_H_1
61,2195,481.99980674244193,CAC,Hembra,CAC_H_1
62,2225,484.7748823252463,CAC,Hembra,CAC_H_1
63,2255,488.1344676386806,CAC,Hembra,CAC_H_1
64,2285,483.19905811360394,CAC,Hembra,CAC_H_1
65,2315,488.76630769046244,CAC,Hembra,CAC_H_1
