,dia,peso,raza,genero,codigo_animal
0,0,34.14819241463156,CAC,Macho,CAC_M_1
1,30,64.91836047616403,CAC,Macho,CAC_M_1
2,60,76.78257635766234,CAC,Macho,CAC_M_1
3,90,93.37045412368725,CAC,Macho,CAC_M_1
4,120,116.39959042006262,CAC,Macho,CAC_M_1
5,150,125.68797381196865,CAC,Macho,CAC_M_1
6,180,146.2647769313773,CAC,Macho,CAC_M_1
7,210,159.343261616207,CAC,Macho,CAC_M_1
8,240,170.44239669994934,CAC,Macho,CAC_M_1
9,270,186.32627074941448,CAC,Macho,CAC_M_1
10,300,204.0440558121036,CAC,Macho,CAC_M_1
11,330,227.0703394484025,CAC,Macho,CAC_M_1
12,360,225.98409794700862,CAC,Macho,CAC_M_1
13,390,241.30775687336114,CAC,Macho,CAC_M_1
14,420,255.33596622957253,CAC,Macho,CAC_M_1
15,450,260.7361856838016,CAC,Macho,CAC_M_1
16,480,269.8054006957409,CAC,Macho,CAC_M_1
17,510,276.1799716189019,CAC,Macho,CAC_M_1
18,540,289.9607473483388,CAC,Macho,CAC_M_1
19,570,301.9009026641572,CAC,Macho,CAC_M_1
20,600,303.6873742309526,CAC,Macho,CAC_M_1
21,630,314.94003959512844,CAC,Macho,CAC_M_1
22,660,328.49451569209407,CAC,Macho,CAC_M_1
23,690,331.8127767051307,CAC,Macho,CAC_M_1
24,720,340.91890066382007,CAC,Macho,CAC_M_1
25,750,344.724930457134,CAC,Macho,CAC_M_1
26,780,357.2068828997753,CAC,Macho,CAC_M_1
27,810,359.02923491068566,CAC,Macho,CAC_M_1
28,840,364.3052023784192,CAC,Macho,CAC_M_1
29,870,370.2881087316509,CAC,Macho,CAC_M_1
30,900,381.20929626657176,CAC,Macho,CAC_M_1
31,930,381.76679196740383,CAC,Macho,CAC_M_1
32,960,384.483830953722,CAC,Macho,CAC_M_1
33,990,391.0655087477072,CAC,Macho,CAC_M_1
34,1020,395.57695163620633,CAC,Macho,CAC_M_1
35,1050,404.94806829889694,CAC,Macho,CAC_M_1
36,1080,405.9193269153792,CAC,Macho,CAC_M_1
37,1110,411.15460368095034,CAC,Macho,CAC_M_1
38,1140,407.350931306549,CAC,Macho,CAC_M_1
39,1170,417.13189043191585,CAC,Macho,CAC_M_1
40,1200,420.59673372913494,CAC,Macho,CAC_M_1
41,1230,422.56655508605604,CAC,Macho,CAC_M_1
42,1260,429.0128322090774,CAC,Macho,CAC_M_1
43,1290,429.76333183975225,CAC,Macho,CAC_M_1
44,1320,432.6941468900813,CAC,Macho,CAC_M_1
45,1350,431.5627597164762,CAC,Macho,CAC_M_1
46,1380,436.85929936760635,CAC,Macho,CAC_M_1
47,1410,441.7267600669219,CAC,Macho,CAC_M_1
48,1440,444.36823564726956,CAC,Macho,CAC_M_1
49,1470,447.24165724809137,CAC,Macho,CAC_M_1
50,1500,450.06080683373557,CAC,Macho,CAC_M_1
51,1530,450.4772338543517,CAC,Macho,CAC_M_1
52,1560,450.13687251933146,CAC,Macho,CAC_M_1
53,1590,457.08260649597213,CAC,Macho,CAC_M_1
54,1620,460.4516689120087,CAC,Macho,CAC_M_1
55,1650,461.4564946807498,CAC,Macho,CAC_M_1
56,1680,461.71485346680294,CAC,Macho,CAC_M_1
57,1710,461.4260712212752,CAC,Macho,CAC_M_1
58,1740,468.63986262914136,CAC,Macho,CAC_M_1
59,1770,469.06303762479297,CAC,Macho,CAC_M_1
60,1800,468.85468341099346,CAC,Macho,CAC_M_1
61,1830,473.03756361145196,CAC,Macho,CAC_M_1
