,dia,peso,raza,genero,codigo_animal
0,365,239.3888628738332,CC,Hembra,CC_H_1
1,395,245.73421004857568,CC,Hembra,CC_H_1
2,425,259.156192291472,CC,Hembra,CC_H_1
3,455,271.0794292624993,CC,Hembra,CC_H_1
4,485,274.05237318399566,CC,Hembra,CC_H_1
5,515,281.4556585791939,CC,Hembra,CC_H_1
6,545,296.52593656077596,CC,Hembra,CC_H_1
7,575,305.6659895633915,CC,Hembra,CC_H_1
8,605,313.1876072668235,CC,Hembra,CC_H_1
9,635,329.14627735072423,CC,Hembra,CC_H_1
10,665,328.3624671476688,CC,Hembra,CC_H_1
11,695,336.09936122839594,CC,Hembra,CC_H_1
12,725,343.5311059217351,CC,Hembra,CC_H_1
13,755,356.95226231432247,CC,Hembra,CC_H_1
14,785,356.8095346549046,CC,Hembra,CC_H_1
15,815,364.48218979921097,CC,Hembra,CC_H_1
16,845,368.57848326391445,CC,Hembra,CC_H_1
17,875,376.5548599864729,CC,Hembra,CC_H_1
18,905,376.1773030825907,CC,Hembra,CC_H_1
19,935,387.0972918495071,CC,Hembra,CC_H_1
20,965,390.90270983067313,CC,Hembra,CC_H_1
21,995,399.5262310340475,CC,Hembra,CC_H_1
22,1025,396.09392885119667,CC,Hembra,CC_H_1
23,1055,403.5641764135954,CC,Hembra,CC_H_1
24,1085,407.0076931071892,CC,Hembra,CC_H_1
25,1115,408.471784765476,CC,Hembra,CC_H_1
26,1145,416.21758675524046,CC,Hembra,CC_H_1
27,1175,417.6221524606985,CC,Hembra,CC_H_1
28,1205,421.20787290278963,CC,Hembra,CC_H_1
29,1235,424.4945081018404,CC,Hembra,CC_H_1
30,1265,429.4559730119252,CC,Hembra,CC_H_1
31,1295,431.65450242563924,CC,Hembra,CC_H_1
32,1325,432.76688745993545,CC,Hembra,CC_H_1
33,1355,435.67915983922336,CC,Hembra,CC_H_1
34,1385,437.72583349583454,CC,Hembra,CC_H_1
35,1415,442.43309002897405,CC,Hembra,CC_H_1
36,1445,443.40205362157195,CC,Hembra,CC_H_1
